Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
D,Petter Granberg,2500,Was@Nsh 08:00PM ET,0.462,Nsh
RW,Chris Wagner,2500,Van@Col 09:00PM ET,1.194,Col
D,Anthony Bitetto,2500,Was@Nsh 08:00PM ET,0.4,Nsh
LW,Harry Zolnierczyk,2500,Anh@Phi 07:00PM ET,0,Anh
C,Ben Street,2500,Van@Col 09:00PM ET,0.75,Col
RW,Tyler Randell,2500,LA@Bos 07:00PM ET,0.574,Bos
RW,Justin Fontaine,2500,Dal@Min 08:00PM ET,1.129,Min
C,Anton Lander,2500,Edm@NJ 07:00PM ET,0.67,Edm
C,Byron Froese,2500,Tor@Cgy 09:00PM ET,1.012,Tor
LW,Nicolas Deslauriers,2500,Fla@Buf 07:00PM ET,0.976,Buf
D,Jamie Oleksiak,2500,Dal@Min 08:00PM ET,0.615,Dal
D,Scott Mayfield,2500,NYI@Cls 07:00PM ET,0.375,NYI
RW,Dmitrij Jaskin,2500,Wpg@StL 08:00PM ET,1.269,StL
RW,Miikka Salomaki,2500,Was@Nsh 08:00PM ET,1.068,Nsh
LW,Lucas Lessio,2500,TB@Mon 07:30PM ET,0,Mon
RW,Logan Shaw,2500,Fla@Buf 07:00PM ET,1.323,Fla
C,Daniel Catenacci,2500,Fla@Buf 07:00PM ET,1,Buf
LW,Andy Andreoff,2500,LA@Bos 07:00PM ET,0.674,LA
C,Nick Shore,2500,LA@Bos 07:00PM ET,1.15,LA
D,Frank Corrado,2500,Tor@Cgy 09:00PM ET,0.3,Tor
C,Tyler Graovac,2500,Dal@Min 08:00PM ET,0.333,Min
