Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
D,Calvin de Haan,3800,NYI@Cls 07:00PM ET,2.324,NYI
C,Cody Eakin,3800,Dal@Min 08:00PM ET,2.236,Dal
RW,Matt Read,3800,Anh@Phi 07:00PM ET,2.17,Phi
C,Ryan Strome,3800,NYI@Cls 07:00PM ET,2.085,NYI
RW,Nail Yakupov,3800,Edm@NJ 07:00PM ET,2.25,Edm
D,Matt Dumba,3800,Dal@Min 08:00PM ET,2.048,Min
LW,Teuvo Teravainen,3800,SJ@Chi 08:30PM ET,2,Chi
C,Mike Ribeiro,3700,Was@Nsh 08:00PM ET,1.991,Nsh
C,Mike Fisher,3700,Was@Nsh 08:00PM ET,1.94,Nsh
RW,Ales Hemsky,3700,Dal@Min 08:00PM ET,2.098,Dal
LW,Jamie McGinn,3700,Fla@Buf 07:00PM ET,2.085,Buf
D,Niklas Hjalmarsson,3700,SJ@Chi 08:30PM ET,2.152,Chi
D,Ryan Murray,3700,NYI@Cls 07:00PM ET,2.222,Cls
D,Justin Schultz,3700,Edm@NJ 07:00PM ET,1.936,Edm
C,Alexander Wennberg,3700,NYI@Cls 07:00PM ET,2.207,Cls
LW,Alex Tanguay,3600,Van@Col 09:00PM ET,1.663,Col
C,Vincent Lecavalier,3600,LA@Bos 07:00PM ET,1.321,LA
D,Brian Campbell,3600,Fla@Buf 07:00PM ET,1.923,Fla
C,Valtteri Filppula,3600,TB@Mon 07:30PM ET,1.949,TB
RW,Tommy Wingels,3600,SJ@Chi 08:30PM ET,1.961,SJ
RW,Jimmy Hayes,3600,LA@Bos 07:00PM ET,2.069,Bos
RW,Joonas Donskoi,3600,SJ@Chi 08:30PM ET,2.015,SJ
C,Joseph Blandisi,3600,Edm@NJ 07:00PM ET,2.5,NJ
RW,Valeri Nichushkin,3600,Dal@Min 08:00PM ET,1.843,Dal
D,Trevor van Riemsdyk,3600,SJ@Chi 08:30PM ET,1.83,Chi
C,Patrik Elias,3500,Edm@NJ 07:00PM ET,1.538,NJ
RW,Brian Gionta,3500,Fla@Buf 07:00PM ET,2.11,Buf
D,Jay Bouwmeester,3500,Wpg@StL 08:00PM ET,2.049,StL
LW,Joffrey Lupul,3500,Tor@Cgy 09:00PM ET,2.068,Tor
D,Dennis Seidenberg,3500,LA@Bos 07:00PM ET,2.041,Bos
C,Travis Zajac,3500,Edm@NJ 07:00PM ET,2.277,NJ
D,David Schlemko,3500,Edm@NJ 07:00PM ET,1.94,NJ
C,David Desharnais,3500,TB@Mon 07:30PM ET,1.954,Mon
D,Dmitry Orlov,3500,Was@Nsh 08:00PM ET,1.725,Was
C,Trevor Lewis,3400,LA@Bos 07:00PM ET,1.92,LA
D,Johnny Oduya,3400,Dal@Min 08:00PM ET,2.142,Dal
LW,Colin Wilson,3400,Was@Nsh 08:00PM ET,2.064,Nsh
D,Jake Gardiner,3400,Tor@Cgy 09:00PM ET,1.75,Tor
C,Jori Lehtera,3400,Wpg@StL 08:00PM ET,1.667,StL
D,Dmitry Kulikov,3400,Fla@Buf 07:00PM ET,1.74,Fla
C,Peter Holland,3400,Tor@Cgy 09:00PM ET,2.123,Tor
D,Christopher Tanev,3400,Van@Col 09:00PM ET,1.96,Van
D,Radko Gudas,3400,Anh@Phi 07:00PM ET,1.924,Phi
LW,Tanner Pearson,3400,LA@Bos 07:00PM ET,2.088,LA
D,Darnell Nurse,3400,Edm@NJ 07:00PM ET,2,Edm
LW,Tomas Fleischmann,3300,TB@Mon 07:30PM ET,1.87,Mon
C,Andrew Cogliano,3300,Anh@Phi 07:00PM ET,1.74,Anh
RW,Alexandre Burrows,3300,Van@Col 09:00PM ET,1.782,Van
C,Mikhail Grabovski,3300,NYI@Cls 07:00PM ET,2.039,NYI
C,Patrik Berglund,3300,Wpg@StL 08:00PM ET,1.867,StL
D,Jason Garrison,3300,TB@Mon 07:30PM ET,1.775,TB
LW,Matt Calvert,3300,NYI@Cls 07:00PM ET,1.733,Cls
LW,Micheal Ferland,3300,Tor@Cgy 09:00PM ET,1.488,Cgy
D,Adam Larsson,3300,Edm@NJ 07:00PM ET,1.896,NJ
D,Colin Miller,3300,LA@Bos 07:00PM ET,1.845,Bos
D,Nate Schmidt,3300,Was@Nsh 08:00PM ET,1.968,Was
C,Melker Karlsson,3300,SJ@Chi 08:30PM ET,1.917,SJ
D,Nick Schultz,3200,Anh@Phi 07:00PM ET,1.78,Phi
D,Cody Franson,3200,Fla@Buf 07:00PM ET,2,Buf
RW,Michael Grabner,3200,Tor@Cgy 09:00PM ET,1.6,Tor
D,Zach Bogosian,3200,Fla@Buf 07:00PM ET,1.889,Buf
LW,Dwight King,3200,LA@Bos 07:00PM ET,1.719,LA
RW,Zack Kassian,3200,Edm@NJ 07:00PM ET,2,Edm
RW,Brett Connolly,3200,LA@Bos 07:00PM ET,1.65,Bos
D,Kevan Miller,3200,LA@Bos 07:00PM ET,2,Bos
C,Zemgus Girgensons,3200,Fla@Buf 07:00PM ET,1.717,Buf
D,Erik Gustafsson,3200,SJ@Chi 08:30PM ET,1.654,Chi
C,Mattias Janmark,3200,Dal@Min 08:00PM ET,1.915,Dal
C,Robby Fabbri,3200,Wpg@StL 08:00PM ET,1.857,StL
D,Marek Zidlicky,3100,NYI@Cls 07:00PM ET,1.705,NYI
RW,Patrick Eaves,3100,Dal@Min 08:00PM ET,1.235,Dal
LW,Nikolay Kulemin,3100,NYI@Cls 07:00PM ET,1.559,NYI
LW,Patrick Maroon,3100,Anh@Phi 07:00PM ET,1.098,Anh
LW,Sven Baertschi,3100,Van@Col 09:00PM ET,1.815,Van
D,Nathan Beaulieu,3100,TB@Mon 07:30PM ET,1.885,Mon
RW,J.T. Brown,3100,TB@Mon 07:30PM ET,1.906,TB
C,Jonathan Marchessault,3100,TB@Mon 07:30PM ET,1.807,TB
RW,Tom Wilson,3100,Was@Nsh 08:00PM ET,1.618,Was
D,Ben Hutton,3100,Van@Col 09:00PM ET,1.894,Van
LW,Daniel Carr,3100,TB@Mon 07:30PM ET,2.025,Mon
C,Shawn Horcoff,3000,Anh@Phi 07:00PM ET,1.589,Anh
D,Paul Martin,3000,SJ@Chi 08:30PM ET,1.59,SJ
C,John Mitchell,3000,Van@Col 09:00PM ET,1.827,Col
LW,Daniel Winnik,3000,Tor@Cgy 09:00PM ET,1.61,Tor
D,Andy Greene,3000,Edm@NJ 07:00PM ET,1.726,NJ
D,Roman Polak,3000,Tor@Cgy 09:00PM ET,1.9,Tor
D,Toby Enstrom,3000,Wpg@StL 08:00PM ET,1.442,Wpg
C,Sam Gagner,3000,Anh@Phi 07:00PM ET,1.231,Phi
C,Lars Eller,3000,TB@Mon 07:30PM ET,1.856,Mon
C,Joe Colborne,3000,Tor@Cgy 09:00PM ET,1.893,Cgy
D,Cody Goloubef,3000,NYI@Cls 07:00PM ET,1.86,Cls
LW,Antoine Roussel,3000,Dal@Min 08:00PM ET,1.721,Dal
LW,Matt Nieto,3000,SJ@Chi 08:30PM ET,1.592,SJ
LW,Michael Raffl,3000,Anh@Phi 07:00PM ET,1.578,Phi
LW,Viktor Arvidsson,3000,Was@Nsh 08:00PM ET,1.946,Nsh
LW,Matt Moulson,2900,Fla@Buf 07:00PM ET,1.475,Buf
C,Shawn Matthias,2900,Tor@Cgy 09:00PM ET,1.64,Tor
RW,David Jones,2900,Tor@Cgy 09:00PM ET,1.598,Cgy
D,Thomas Hickey,2900,NYI@Cls 07:00PM ET,1.688,NYI
LW,Richard Panik,2900,SJ@Chi 08:30PM ET,1.773,Chi
LW,Lance Bouma,2900,Tor@Cgy 09:00PM ET,1.088,Cgy
RW,Stanislav Galiev,2900,Was@Nsh 08:00PM ET,0.462,Was
D,Brayden McNabb,2900,LA@Bos 07:00PM ET,1.65,LA
D,Damon Severson,2900,Edm@NJ 07:00PM ET,1.52,NJ
LW,Kerby Rychel,2900,NYI@Cls 07:00PM ET,1.522,Cls
D,Michal Rozsival,2800,SJ@Chi 08:30PM ET,1.157,Chi
C,Derek MacKenzie,2800,Fla@Buf 07:00PM ET,1.337,Fla
D,Christian Ehrhoff,2800,LA@Bos 07:00PM ET,1.42,LA
D,Dan Hamhuis,2800,Van@Col 09:00PM ET,1.586,Van
RW,David Clarkson,2800,NYI@Cls 07:00PM ET,0.889,Cls
C,Dave Bolland,2800,Fla@Buf 07:00PM ET,0.679,Fla
D,Adam McQuaid,2800,LA@Bos 07:00PM ET,1.513,Bos
C,Mark Letestu,2800,Edm@NJ 07:00PM ET,1.565,Edm
C,Jay Beagle,2800,Was@Nsh 08:00PM ET,1.667,Was
C,Colton Sceviour,2800,Dal@Min 08:00PM ET,1.813,Dal
C,Paul Byron,2800,TB@Mon 07:30PM ET,1.487,Mon
C,Jacob Josefson,2800,Edm@NJ 07:00PM ET,1.729,NJ
D,Simon Despres,2800,Anh@Phi 07:00PM ET,1.5,Anh
LW,Marcus Foligno,2800,Fla@Buf 07:00PM ET,1.12,Buf
D,Eric Gelinas,2800,Edm@NJ 07:00PM ET,1.138,NJ
D,Alex Petrovic,2800,Fla@Buf 07:00PM ET,1.378,Fla
C,Calle Jarnkrok,2800,Was@Nsh 08:00PM ET,1.712,Nsh
D,Brandon Davidson,2800,Edm@NJ 07:00PM ET,1.793,Edm
D,Zach Trotman,2800,LA@Bos 07:00PM ET,1.554,Bos
D,Mark Fayne,2800,Edm@NJ 07:00PM ET,1.239,Edm
D,Brenden Dillon,2800,SJ@Chi 08:30PM ET,1.48,SJ
C,Ryan Garbutt,2800,Anh@Phi 07:00PM ET,1.422,Anh
C,Mikhail Grigorenko,2800,Van@Col 09:00PM ET,1.35,Col
D,Adam Pelech,2800,NYI@Cls 07:00PM ET,1.45,NYI
LW,Jonathan Drouin,2800,TB@Mon 07:30PM ET,1.056,TB
C,Jared McCann,2800,Van@Col 09:00PM ET,1.514,Van
LW,Raffi Torres,2700,SJ@Chi 08:30PM ET,0,SJ
C,Vernon Fiddler,2700,Dal@Min 08:00PM ET,1.623,Dal
RW,Brad Boyes,2700,Tor@Cgy 09:00PM ET,1.385,Tor
C,Gregory Campbell,2700,NYI@Cls 07:00PM ET,1.046,Cls
D,Braydon Coburn,2700,TB@Mon 07:30PM ET,1.471,TB
C,Brian Boyle,2700,TB@Mon 07:30PM ET,1.729,TB
D,Josh Gorges,2700,Fla@Buf 07:00PM ET,1.76,Buf
LW,Lauri Korpikoski,2700,Edm@NJ 07:00PM ET,1.859,Edm
D,Clayton Stoner,2700,Anh@Phi 07:00PM ET,1.039,Anh
RW,Cal Clutterbuck,2700,NYI@Cls 07:00PM ET,1.56,NYI
D,Matt Hunwick,2700,Tor@Cgy 09:00PM ET,1.608,Tor
C,Mike Santorelli,2700,Anh@Phi 07:00PM ET,1.278,Anh
RW,Ryan White,2700,Anh@Phi 07:00PM ET,1.548,Phi
D,Luke Schenn,2700,LA@Bos 07:00PM ET,1.375,LA
D,John Moore,2700,Edm@NJ 07:00PM ET,1.656,NJ
D,Steven Kampfer,2700,Fla@Buf 07:00PM ET,0.857,Fla
D,Eric Gryba,2700,Edm@NJ 07:00PM ET,1.481,Edm
D,Jon Merrill,2700,Edm@NJ 07:00PM ET,0.902,NJ
D,Dalton Prout,2700,NYI@Cls 07:00PM ET,1.103,Cls
RW,Linden Vey,2700,Van@Col 09:00PM ET,1.622,Van
D,Alexei Emelin,2700,TB@Mon 07:30PM ET,1.281,Mon
D,Joe Morrow,2700,LA@Bos 07:00PM ET,0.968,Bos
C,Phillip Danault,2700,SJ@Chi 08:30PM ET,1.543,Chi
C,William Karlsson,2700,NYI@Cls 07:00PM ET,1.5,Cls
LW,Reid Boucher,2700,Edm@NJ 07:00PM ET,1.564,NJ
D,Josh Manson,2700,Anh@Phi 07:00PM ET,1.513,Anh
RW,Iiro Pakarinen,2700,Edm@NJ 07:00PM ET,1.122,Edm
C,Brian Flynn,2700,TB@Mon 07:30PM ET,1.439,Mon
C,Scott Laughton,2700,Anh@Phi 07:00PM ET,1.471,Phi
D,Jake McCabe,2700,Fla@Buf 07:00PM ET,1.37,Buf
D,Evgeny Medvedev,2700,Anh@Phi 07:00PM ET,1.523,Phi
LW,Pierre-Edouard Bellemare,2700,Anh@Phi 07:00PM ET,1.419,Phi
D,Stephane Robidas,2600,Tor@Cgy 09:00PM ET,0,Tor
D,Brad Stuart,2600,Van@Col 09:00PM ET,0.389,Col
C,R.J. Umberger,2600,Anh@Phi 07:00PM ET,0.987,Phi
D,Tom Gilbert,2600,TB@Mon 07:30PM ET,1.417,Mon
C,Brooks Laich,2600,Was@Nsh 08:00PM ET,0.99,Was
C,Matt Stajan,2600,Tor@Cgy 09:00PM ET,1.167,Cgy
D,Deryk Engelland,2600,Tor@Cgy 09:00PM ET,1.216,Cgy
LW,Tyler Kennedy,2600,Edm@NJ 07:00PM ET,0.883,NJ
C,Ryan Carter,2600,Dal@Min 08:00PM ET,1.193,Min
RW,Mike Brown,2600,SJ@Chi 08:30PM ET,0.744,SJ
D,Andrew Bodnarchuk,2600,Van@Col 09:00PM ET,0.74,Col
D,Luca Sbisa,2600,Van@Col 09:00PM ET,1.537,Van
LW,Andrew Desjardins,2600,SJ@Chi 08:30PM ET,1.396,Chi
D,Carl Gunnarsson,2600,Wpg@StL 08:00PM ET,1.469,StL
D,Jordie Benn,2600,Dal@Min 08:00PM ET,1.511,Dal
D,Korbinian Holzer,2600,Anh@Phi 07:00PM ET,0.708,Anh
D,Mark Barberio,2600,TB@Mon 07:30PM ET,1.235,Mon
D,Ben Chiarot,2600,Wpg@StL 08:00PM ET,1.177,Wpg
C,Marcus Kruger,2600,SJ@Chi 08:30PM ET,0.986,Chi
D,Erik Gudbranson,2600,Fla@Buf 07:00PM ET,1.317,Fla
RW,Emerson Etem,2600,Van@Col 09:00PM ET,1.208,Van
D,Patrik Nemeth,2600,Dal@Min 08:00PM ET,0.75,Dal
D,Zach Redmond,2600,Van@Col 09:00PM ET,0.952,Col
D,Jonas Brodin,2600,Dal@Min 08:00PM ET,1.382,Min
RW,Joel Armia,2600,Wpg@StL 08:00PM ET,0.885,Wpg
D,Adam Clendening,2600,Edm@NJ 07:00PM ET,0.519,Edm
C,Markus Granlund,2600,Tor@Cgy 09:00PM ET,1.259,Cgy
D,Joel Edmundson,2600,Wpg@StL 08:00PM ET,1.267,StL
C,Adam Lowry,2600,Wpg@StL 08:00PM ET,1.398,Wpg
C,Nick Cousins,2600,Anh@Phi 07:00PM ET,0.917,Phi
D,Nikita Nesterov,2600,TB@Mon 07:30PM ET,1.061,TB
D,Dylan DeMelo,2600,SJ@Chi 08:30PM ET,0.839,SJ
D,Slater Koekkoek,2600,TB@Mon 07:30PM ET,0.5,TB
C,Radek Faksa,2600,Dal@Min 08:00PM ET,1.316,Dal
C,Chris Tierney,2600,SJ@Chi 08:30PM ET,1.673,SJ
C,Cedric Paquette,2600,TB@Mon 07:30PM ET,0.948,TB
C,Erik Haula,2600,Dal@Min 08:00PM ET,1.27,Min
C,Josh Jooris,2600,Tor@Cgy 09:00PM ET,1.303,Cgy
C,Dainius Zubrus,2500,SJ@Chi 08:30PM ET,0.977,SJ
C,Olli Jokinen,2500,Wpg@StL 08:00PM ET,0,StL
C,David Legwand,2500,Fla@Buf 07:00PM ET,0.885,Buf
LW,Eric Boulton,2500,NYI@Cls 07:00PM ET,0,NYI
D,Andrew Ference,2500,Edm@NJ 07:00PM ET,0.265,Edm
D,Barret Jackman,2500,Was@Nsh 08:00PM ET,1.179,Nsh
D,Willie Mitchell,2500,Fla@Buf 07:00PM ET,1.446,Fla
C,Jarret Stoll,2500,Dal@Min 08:00PM ET,1.047,Min
LW,Eric Nystrom,2500,Was@Nsh 08:00PM ET,1.138,Nsh
RW,Scottie Upshall,2500,Wpg@StL 08:00PM ET,1.185,StL
RW,Jordin Tootoo,2500,Edm@NJ 07:00PM ET,1.163,NJ
